Dimension,pca Time,pca Standard Deviation,qda Accuracy,qda Standard Deviation
1,2.273847818374634,0.042989492416381836,0.3036,0.0
3,2.433166742324829,0.01092219352722168,0.6223,0.0
5,2.332084894180298,0.011252880096435547,0.7114,0.0
7,2.211372494697571,0.013439536094665527,0.7284,0.0
9,2.3628132343292236,0.029842376708984375,0.7482,0.0
