Dimension,dae Time,dae Standard Deviation,qda Accuracy,qda Standard Deviation
1,90.93807685375214,17.602066159248352,0.34835,0.025650000000000006
3,186.48856019973755,39.6750054359436,0.6943,0.0028000000000000247
5,264.1531766653061,58.13419282436371,0.763,0.0033999999999999586
7,268.68023931980133,39.67405879497528,0.7941,0.004500000000000004
9,328.36660623550415,13.786070823669434,0.80525,0.003249999999999975
