Dimension,dae Time,dae Standard Deviation,knn Accuracy,knn Standard Deviation
1,39.96861267,4.533263922,0.6161,0.0105
2,39.9751327,11.142133,0.6882,0.0176
3,45.24978697,11.3083328,0.7352,0.0078
4,38.35550523,4.42620492,0.7722,0.0021
5,43.23249364,3.052997351,0.78255,0.00345
6,53.39176953,2.627549052,0.78765,0.00165
7,42.37288427,1.181647301,0.78945,0.00305
8,50.32192552,6.697703004,0.80095,0.00185
9,53.93909323,0.448888659,0.80595,0.00265
10,44.32587981,0.841097593,0.80555,0.00105
