Dimension,dae Time,dae Standard Deviation,knn Accuracy,knn Standard Deviation
1,44.92156577,9.288468599,0.54435,0.01665
2,38.18682861,1.051046371,0.69645,0.00195
3,43.15060067,7.117963076,0.7372,0.0025
4,41.72709155,5.2954638,0.77215,0.00675
5,40.16859758,2.536530137,0.78485,0.00045
6,41.15895903,3.628665328,0.7874,0.0014
7,44.84679043,1.96747005,0.79035,0.00095
8,47.43743861,4.209358335,0.7977,0.0028
9,53.33210957,4.393603921,0.79505,5.00E-05
10,50.54856384,3.342305779,0.80315,0.00105
