Dimension,dae Time,dae Standard Deviation,knn Accuracy,knn Standard Deviation
1,22.35028756,6.368371367,0.6528,0.0133
2,31.52012372,9.939496279,0.73905,0.00515
3,33.31696987,4.958931446,0.78535,0.00025
4,42.25850618,5.379102349,0.815,0.0019
5,38.44170725,2.84759295,0.83035,0.00015
6,31.21875477,4.497173548,0.8345,0.0017
7,37.81968224,3.735542417,0.844,0.0004
8,31.40945494,6.045512319,0.8471,0.0004
9,35.51235723,3.757626057,0.851,0.0012
10,32.90204823,4.890575528,0.85065,0.00365
