Dimension,dae Time,dae Standard Deviation,knn Accuracy,knn Standard Deviation
1,73.28771317,9.226751685,0.5004,0.0047
2,46.57728171,13.91348457,0.69675,0.00265
3,54.49959934,4.585984826,0.74115,0.00125
4,66.39346504,6.072637558,0.76875,0.00105
5,63.76304793,12.91066551,0.78185,0.00045
6,61.97327471,10.7315836,0.78825,0.00155
7,63.95124245,4.287752628,0.7911,0.001
8,69.42410541,10.41812301,0.80045,0.00155
9,73.14695823,14.97143567,0.8061,0.0009
10,60.00769186,4.474145412,0.80285,0.00045
