Dimension,dae Time,dae Standard Deviation,knn Accuracy,knn Standard Deviation
1,33.06823266,1.061405063,0.54585,0.00145
2,47.94862056,1.543431997,0.69,0.0006
3,44.3261807,4.245117188,0.73315,0.00035
4,39.814502,0.247447014,0.7651,0.0032
5,49.4617213,0.571652293,0.76825,0.00285
6,47.28224361,2.390860915,0.77765,0.00215
7,50.11473107,2.834629297,0.7814,0.0035
8,49.7608602,1.356644154,0.78875,0.00245
9,55.81423986,6.057942033,0.7946,0.0034
10,55.4713372,2.513888001,0.79765,0.00325
