Dimension,dae2l Time,dae2l Standard Deviation,qda Accuracy,qda Standard Deviation
1,9.937503576278687,0.2978665828704834,0.4198,0.019600000000000006
2,9.916293025016785,0.13534867763519287,0.6577,0.0006999999999999784
3,12.245972871780396,1.5512096881866455,0.7031499999999999,0.007250000000000034
4,12.517821669578552,0.5292695760726929,0.73655,0.0034500000000000086
5,12.419244289398193,0.5070505142211914,0.7517,0.008000000000000007
6,11.91123366355896,1.3245675563812256,0.75615,0.009750000000000036
7,11.577067613601685,1.3568637371063232,0.767,0.0031999999999999806
8,12.53624701499939,0.27112412452697754,0.7724,0.003500000000000003
9,13.159670948982239,1.5629855394363403,0.78605,0.0012499999999999734
10,12.443501114845276,1.55231511592865,0.7925,0.004500000000000004
