Dimension,dae Time,dae Standard Deviation,qda Accuracy,qda Standard Deviation
1,19.398831963539124,4.690013289451599,0.40305,0.04324999999999998
2,11.639403939247131,0.8409570455551147,0.6751499999999999,0.005350000000000021
3,17.239110350608826,0.4485591650009155,0.7125,0.0040999999999999925
4,14.254321575164795,0.43372535705566406,0.7361,0.006599999999999995
5,15.519557476043701,1.0757899284362793,0.7597,0.0005999999999999894
6,18.750911951065063,0.014292716979980469,0.7629,0.006000000000000005
7,15.150824666023254,1.192421793937683,0.77415,0.0011499999999999844
8,15.12284529209137,1.4330717325210571,0.77885,0.0014500000000000068
9,17.039023756980896,0.0012933015823364258,0.7834,0.0021999999999999797
10,17.343172550201416,0.9929704666137695,0.78495,0.0045499999999999985
