Dimension,dae Time,dae Standard Deviation,qda Accuracy,qda Standard Deviation
1,22.66335892677307,4.09874963760376,0.38575,0.027749999999999997
2,16.02912437915802,2.9465116262435913,0.67015,0.00035000000000001696
3,15.427799344062805,0.5133851766586304,0.71255,0.01795000000000002
4,13.536662220954895,0.1188727617263794,0.75085,0.003149999999999986
5,15.202143669128418,1.2012310028076172,0.75455,0.000250000000000028
6,16.691946387290955,0.282037615776062,0.76935,0.0010499999999999954
7,14.476787447929382,1.8109668493270874,0.7757499999999999,0.0024500000000000077
8,16.021446228027344,0.14206790924072266,0.7686999999999999,0.007500000000000007
9,17.05397069454193,1.2288118600845337,0.78645,0.006750000000000034
10,16.241069793701172,0.17191743850708008,0.7933,0.0012999999999999678
