Dimension,dae Time,dae Standard Deviation,qda Accuracy,qda Standard Deviation
1,17.066107511520386,2.4740982055664062,0.5097,0.037599999999999995
2,27.860594987869263,6.253283977508545,0.66575,0.01815
3,24.64863884449005,1.2570940256118774,0.71625,0.0047499999999999765
4,17.904350519180298,0.9263579845428467,0.7471000000000001,0.0015999999999999903
5,22.65759575366974,2.1613601446151733,0.7552,0.0039000000000000146
6,22.724522829055786,1.0204124450683594,0.76075,0.0012500000000000289
7,23.428495287895203,1.3015190362930298,0.77215,0.0017500000000000293
8,28.274470448493958,2.082142472267151,0.78555,0.002850000000000019
9,20.187779784202576,3.9920789003372192,0.7861,0.005900000000000016
10,23.546629786491394,0.9075075387954712,0.7846,0.0016999999999999793
