Dimension,dae Time,dae Standard Deviation,qda Accuracy,qda Standard Deviation
1,18.416306495666504,0.1549522876739502,0.4585,0.053899999999999976
2,16.472360730171204,0.5069175958633423,0.65105,0.021050000000000013
3,16.876104712486267,0.6769646406173706,0.6977,0.01100000000000001
4,17.806824445724487,0.9222743511199951,0.7354,0.003500000000000003
5,18.108586311340332,0.07235121726989746,0.7423500000000001,0.0006499999999999839
6,18.682036519050598,0.5596219301223755,0.75185,0.002950000000000008
7,16.41020405292511,2.3378268480300903,0.747,0.0013999999999999568
8,18.751730799674988,1.9171382188796997,0.7614000000000001,0.006400000000000017
9,18.791030764579773,3.0626386404037476,0.77725,0.003750000000000031
10,20.058098435401917,3.0772637128829956,0.7718,0.004599999999999993
