Dimension,dae1l Time,dae1l Standard Deviation,qda Accuracy,qda Standard Deviation
1,9.11958396434784,1.6922746896743774,0.3694,0.05559999999999998
2,15.04523241519928,1.1963528394699097,0.6003499999999999,0.0005499999999999949
3,12.725307822227478,0.2767394781112671,0.67955,0.0021499999999999853
4,11.25839078426361,0.7381700277328491,0.7225,0.0011999999999999789
5,10.625351786613464,0.7412225008010864,0.73705,0.0006499999999999839
6,12.18694269657135,0.5226362943649292,0.7413000000000001,0.005799999999999972
7,11.024051070213318,0.15656507015228271,0.75805,0.008850000000000025
8,10.166417360305786,0.8590326309204102,0.76495,0.0044500000000000095
9,9.820137619972229,0.254336953163147,0.7665500000000001,0.0015499999999999958
10,11.586456656455994,0.6066819429397583,0.78445,0.004249999999999976
