Dimension,dae Time,dae Standard Deviation,qda Accuracy,qda Standard Deviation
1,18.24002778530121,6.652790427207947,0.39749999999999996,0.021800000000000014
2,50.98915684223175,3.7620409727096558,0.6433500000000001,0.011450000000000016
3,81.47934412956238,6.702633619308472,0.7172,0.0010000000000000009
4,63.979965806007385,3.845646023750305,0.74515,0.0005499999999999949
5,77.30878055095673,6.280489087104797,0.7548999999999999,0.0015000000000000013
6,74.52853953838348,5.023708701133728,0.7694000000000001,0.0014000000000000123
7,78.55566561222076,2.203962206840515,0.77885,0.0005499999999999949
8,91.93388891220093,5.04292368888855,0.7859499999999999,0.0018499999999999628
9,82.40604317188263,0.10752904415130615,0.79325,0.0034500000000000086
10,104.95344030857086,11.158827900886536,0.8019000000000001,0.0012000000000000344
