Dimension,dae2l Time,dae2l Standard Deviation,qda Accuracy,qda Standard Deviation
1,17.230801463127136,1.0977951288223267,0.49249999999999994,0.009899999999999992
2,17.452452659606934,1.330634355545044,0.6566000000000001,0.011799999999999977
3,20.76440727710724,1.951095461845398,0.7133,0.00820000000000004
4,14.647582292556763,1.3097832202911377,0.737,0.0010999999999999899
5,18.69541883468628,1.109079122543335,0.7545,0.003500000000000003
6,18.917391419410706,3.2214490175247192,0.7636000000000001,0.0023000000000000242
7,18.904159545898438,1.5505106449127197,0.77335,0.004149999999999987
8,15.230674982070923,0.33466672897338867,0.7763,0.005099999999999993
9,16.8265118598938,0.05254793167114258,0.7902,0.0024000000000000132
10,17.41634428501129,0.5236719846725464,0.78705,0.00024999999999997247
