Dimension,dae Time,dae Standard Deviation,qda Accuracy,qda Standard Deviation
1,3.8920650482177734,1.2902414798736572,0.27515,0.0002500000000000002
2,11.19215214252472,0.4616152048110962,0.66185,0.0046499999999999875
3,13.6260267496109,1.7230168581008911,0.6951,0.0025000000000000022
4,14.227793097496033,1.5497361421585083,0.74005,0.00024999999999997247
5,14.838701605796814,1.5232800245285034,0.74955,0.0010499999999999954
6,19.284411668777466,0.7267522811889648,0.767,0.0012999999999999678
7,17.829548954963684,0.5022338628768921,0.7724,0.0040000000000000036
8,15.756829380989075,1.4992460012435913,0.7822,9.999999999998899e-05
9,20.265129923820496,0.7119921445846558,0.78685,0.0009499999999999509
10,16.43691325187683,0.17303466796875,0.7887500000000001,0.000150000000000039
